Title,Year,Authors,Venue,PublicationType,JournalTier,Field,StudyType,DataType,DLW_Related,DLW_Signal,DataProvided,CodeProvided,ReplicationPackage,DOI,URL,OpenAlexID,SearchTerm
International Trade and Innovation Dynamics with Endogenous Markups,2022,Laurent Cavenaile; Pau Roldan-Blanco; Tom Schmitz,The Economic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/ej/ueac085,https://doi.org/10.1093/ej/ueac085,https://openalex.org/W3090786521,markup
"Joint markdown, ordering and freshness-keeping policy under demand competition between new and old products",2022,Ning Li; Xue Qiao; Zheng Wang,Journal of the Operational Research Society,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/01605682.2022.2125844,https://doi.org/10.1080/01605682.2022.2125844,https://openalex.org/W4297093570,markdown
Labor price distortion and export product markups: Evidence from China labor market,2022,Wang Ming-yi; Zhongyi Zhang; Liu X; Xu Siwei,China Economic Review,Journal article,OtherJournal,Industrial organization,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.chieco.2022.101901,https://doi.org/10.1016/j.chieco.2022.101901,https://openalex.org/W4310894474,markup
Markdown pricing strategy under a dual-channel supply chain with strategic consumers,2022,Haijiao Li; Kuan Yang; Janny Leung; Guoqing Zhang,RAIRO. Operations research,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1051/ro/2022113,https://doi.org/10.1051/ro/2022113,https://openalex.org/W4283590643,markdown
"Market power, markup volatility and the role of cooperatives in the food value chain: evidence from Italy",2022,Hyejin Lee; Patrick Van Cayseele,European Review of Agricultural Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/erae/jbac001,https://doi.org/10.1093/erae/jbac001,https://openalex.org/W4213188362,markup
Markups and export behavior: <scp>Firm‐level</scp> evidence from the French food processing industry,2022,Yaghoob Jafari; Maximilian Koppenberg; Stefan Hirsch; Thomas Heckelei,American Journal of Agricultural Economics,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/ajae.12292,https://doi.org/10.1111/ajae.12292,https://openalex.org/W4206908527,markup
Measuring Market Power (Using Markup) for Iran's Economy,2022,Vahid Hassani; Mohammad Hoseini,The Journal of Planning and Budgeting,Journal article,OtherJournal,Industrial organization,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.52547/jpbud.27.1.3,http://dx.doi.org/10.52547/jpbud.27.1.3,https://openalex.org/W4313787886,markup
Medicare Advantage Plans Pay Large Markups To Consolidated Dialysis Organizations,2022,Eugene Lin; Bich Ly; Erin Duffy; Erin Trish,Health Affairs,Journal article,OtherJournal,Industrial organization,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1377/hlthaff.2021.02009,https://doi.org/10.1377/hlthaff.2021.02009,https://openalex.org/W4289642027,markup
Modeling markups and its determinants: The case of Norwegian industries and regions,2022,Ørjan Mydland; Ståle Størdal; Subal C. Kumbhakar; Gudbrand Lien,Economic Analysis and Policy,Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.eap.2022.08.014,https://doi.org/10.1016/j.eap.2022.08.014,https://openalex.org/W4293879975,markup
"Quality of imported intermediates, innovation behaviour and markups: Firm‐level evidence from China",2022,Xianhai Huang; Yì Wáng; Zhujun Zhu; Xueyin Song,World Economy,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/twec.13270,https://doi.org/10.1111/twec.13270,https://openalex.org/W4226479908,markup
Reselling or agency model under markdown pricing policy in the presence of strategic customers,2022,Qiaoke Zhang; Hongzhuan Chen; Liangqi Wan,Managerial and Decision Economics,Journal article,OtherJournal,Industrial organization,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1002/mde.3571,https://doi.org/10.1002/mde.3571,https://openalex.org/W4214940542,markdown
Rising Markups or Changing Technology?,2022,Lucia Foster; John Haltiwanger; Cody Tuttle,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4229114,https://doi.org/10.2139/ssrn.4229114,https://openalex.org/W4312771860,markup
"Rising markups, common ownership, and technological capacities",2022,Alexandra J. Gibbon; Jan Philip Schain,International Journal of Industrial Organization,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2022.102900,https://doi.org/10.1016/j.ijindorg.2022.102900,https://openalex.org/W3034308495,markup
The Effects of Local Demand and Supply Restrictions on Markup,2022,Antonio Acconcia; Elisa Scarinzi,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4151337,https://doi.org/10.2139/ssrn.4151337,https://openalex.org/W4285164026,markup
The impact of export VAT rebate on firm-product markups: Evidence from Chinese industrial enterprises,2022,Churen Sun; Han Wu,Economic Modelling,Journal article,OtherJournal,Industrial organization,Empirical,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2022.106143,https://doi.org/10.1016/j.econmod.2022.106143,https://openalex.org/W4311779194,markup
"Wage councils, product markups and wage markdowns: Evidence from Uruguay",2022,Carlos Casacuberta; Néstor Gándelman,International Journal of Industrial Organization,Journal article,OtherJournal,Industrial organization,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2022.102916,https://doi.org/10.1016/j.ijindorg.2022.102916,https://openalex.org/W4313419996,markup
"&lt;b&gt;Price Markups, Trust Gaps, and Technology Solutions in Rwanda–Asia Trade: An Empirical Study of Vehicle and Machinery Imports, 2000–2025&lt;/b&gt;",2021,Sixbert SANGWA; Placide Mutabazi,Open Journal of Stewardship Economics & Ethical Innovation (ISSN 3105-3068),Journal article,OtherJournal,Industrial organization,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.65655/wpkph841,https://doi.org/10.65655/wpkph841,https://openalex.org/W7115915801,markup
Application of the markup pricing method as an alternative to the non-cost-based model for airport charges,2021,Reinaldo Moreira Del Fiaco; Paulo Afonso Lopes da Silva,Gestão & Produção,Journal article,OtherJournal,Industrial organization,Method,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1590/1806-9649.2020v28e4788,https://doi.org/10.1590/1806-9649.2020v28e4788,https://openalex.org/W3137700383,markup
"Concentration, Retail Markups, and Countervailing Buyer Power: Evidence from Retail Lotteries",2021,Renato Giroldo; Brett Hollenbeck,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3865811,https://doi.org/10.2139/ssrn.3865811,https://openalex.org/W3175506737,markup
"Concentration, Retail Markups, and Countervailing Power: Evidence from Retail Lotteries",2021,Renato Giroldo; Brett Hollenbeck,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,,https://mpra.ub.uni-muenchen.de/109039/1/MPRA_paper_109039.pdf,https://openalex.org/W3192137010,markup
Contract selection for fresh produce suppliers cooperating with a platform under a markdown-pricing policy,2021,Chang Xu; Tijun Fan; Qi Zheng; Yang Song,International Journal of Production Research,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00207543.2021.1987548,https://doi.org/10.1080/00207543.2021.1987548,https://openalex.org/W3208184059,markdown
"Export Expansions, Local Production Networks and Markup Adjustments",2021,Jie Li; Angdi Lu,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4154845,https://doi.org/10.2139/ssrn.4154845,https://openalex.org/W4288099929,markup
"Global Value Chain Participation, Competition, and Markups: Evidence from Ethiopian Manufacturing Firms",2021,Jieun Choi; Emiko Fukase; Albert Zeufack,Journal of Economic Integration,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.11130/jei.2021.36.3.491,https://doi.org/10.11130/jei.2021.36.3.491,https://openalex.org/W3196739063,markup
How Have COVID-19 Case Rates Impacted Retail Gasoline Price Markups? Evidence From Daily Prices and Transportation Choices,2021,Chintamani Jog; Travis Roach,Energy RESEARCH LETTERS,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.46557/001c.28919,https://doi.org/10.46557/001c.28919,https://openalex.org/W3205033133,markup
Markups and Concentration in the Context of Digitization: Evidence from German Manufacturing Industries,2021,John P. Weche; Joachim Wagner,Jahrbücher für Nationalökonomie und Statistik,Journal article,OtherJournal,Industrial organization,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1515/jbnst-2020-0046,https://doi.org/10.1515/jbnst-2020-0046,https://openalex.org/W3202125928,markup
Markups and Contribution Margins of Nursing Homes,2021,Ecler Jaqua; Terry Jaqua,International Journal of Clinical Case Reports and Reviews,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.31579/2690-4861/171,https://doi.org/10.31579/2690-4861/171,https://openalex.org/W3212475715,markup
Markups and Fixed Costs in Generic and Off-Patent Pharmaceutical Markets,2021,Sharat Ganapati; Rebecca McKibbin,The Review of Economics and Statistics,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1162/rest_a_01130,https://doi.org/10.1162/rest_a_01130,https://openalex.org/W3214496879,markup
Markups and Fixed Costs in Generic and Off-Patent Pharmaceutical Markets,2021,Sharat Ganapati; Rebecca McKibbin,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3918101,https://doi.org/10.2139/ssrn.3918101,https://openalex.org/W3209396167,markup
Price Markups and Upstreamness in World Input-Output Data,2021,Constantin Colonescu,Acta Universitatis Sapientiae Economics and Business,Journal article,OtherJournal,Industrial organization,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2478/auseb-2021-0004,https://doi.org/10.2478/auseb-2021-0004,https://openalex.org/W3204855576,markup
Retail Markups and Discount-Store Entry,2021,Lauren Chenarides; Miguel I. Gómez; Timothy J. Richards; Koichi Yonezawa,SSRN Electronic Journal,Journal article,OtherJournal,Industrial organization,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3850295,https://doi.org/10.2139/ssrn.3850295,https://openalex.org/W3176510475,markup
"Fixed costs, markups and concentration in Eswatini (Swaziland): A firm‐level analysis of panel data",2021,Samuel Vika Mhlanga; Neil Rankin,South African Journal of Economics,Journal article,OtherJournal,Applied micro,Method,Firm-level,Yes,production approach,Unknown,Unknown,Unknown,https://doi.org/10.1111/saje.12289,https://doi.org/10.1111/saje.12289,https://openalex.org/W3176537521,markup
Has Global Division of Labor Increased Markup of Chinese Enterprises?,2021,Jian Song; Jing Wang,China Finance and Economic Review,Journal article,OtherJournal,Applied micro,Method,Firm-level,Yes,dlw,Unknown,Unknown,Unknown,https://doi.org/10.1515/cfer-2021-0017,https://doi.org/10.1515/cfer-2021-0017,https://openalex.org/W4409482923,markup
Labor protection policy and firm markup: Evidence from the implementation of the China social insurance law,2025,Zhiwei Yang; Jiahui Yang; Wei Wang,Finance research letters,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.frl.2025.107623,https://doi.org/10.1016/j.frl.2025.107623,https://openalex.org/W4410640664,markup
"Rising Concentration of Household Shopping, Superstar Firms, and Implications for Retail Markups",2025,J. W. C. Leung; Zhonglin Li,American Economic Journal Applied Economics,Journal article,OtherJournal,Applied micro,Applied micro,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1257/app.20240081,https://doi.org/10.1257/app.20240081,https://openalex.org/W7117451659,markup
CONSEQUENCES OF MAXIMUM MARKUP REGULATION IN THE SUPPLY AND DISTRIBUTION CHAIN FOR AGRI-FOOD PRODUCTS,2024,Claudiu-Cătălin Munteanu,AGRICULTURAL ECONOMICS AND RURAL DEVELOPMENT,Journal article,OtherJournal,Applied micro,Method,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.59277/aerd.2024.2.09,https://doi.org/10.59277/aerd.2024.2.09,https://openalex.org/W4408378573,markup
Differential effect of China’s Zero Markup Drug Policy on provider-induced demand in secondary and tertiary hospitals,2024,Xiaoxi Zhang; Armand Zimmerman; Hongyu Lai; Yanyan Zhang; Zhong-Yi Tang; Shenglan Tang; Osondu Ogbuoji,Frontiers in Public Health,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3389/fpubh.2024.1229722,https://doi.org/10.3389/fpubh.2024.1229722,https://openalex.org/W4395079148,markup
Do Higher Markups Lower Labor’s Share of Income?,2024,Barış Kaymak; Immo Schott,Economic Commentary (Federal Reserve Bank of Cleveland),Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.26509/frbc-ec-202402,http://dx.doi.org/10.26509/frbc-ec-202402,https://openalex.org/W4391465498,markup
"Firm‐level prices, quality, and markups: The role of immigrant workers",2024,Giulia Sabbadini,Review of International Economics,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/roie.12772,https://doi.org/10.1111/roie.12772,https://openalex.org/W4400496905,markup
Happy Hour: Markdown Pricing to Reduce Food Waste,2024,Xabier Barriola; Jan Holmström; Lauri Loikkanen; Lauri Saarinen,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4687311,https://doi.org/10.2139/ssrn.4687311,https://openalex.org/W4391453551,markdown
Markups and Inequality,2024,Corina Boar; Virgiliu Midrigin,The Review of Economic Studies,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/restud/rdae103,https://doi.org/10.1093/restud/rdae103,https://openalex.org/W3137182083,markup
Social insurance law and firm markup in China,2024,Gang Jin; Jiwen Zhang; Yongwei Ye; Shiqi Yao; Jingxiang Song,Economic Modelling,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2024.106645,https://doi.org/10.1016/j.econmod.2024.106645,https://openalex.org/W4390479843,markup
The impact of markups and wages on changes in the level of inflation in Poland,2024,Aneta Kosztowniak,Managerial Economics,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.7494/manage.2023.24.2.145,http://dx.doi.org/10.7494/manage.2023.24.2.145,https://openalex.org/W4402378840,markup
"An EPQ model for delay deteriorating products with price, freshness and greening efforts dependent demand under markdown strategy",2023,Dharmesh Katariya; Kunal Shukla,Yugoslav journal of operations research,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2298/yjor230515023k,https://doi.org/10.2298/yjor230515023k,https://openalex.org/W4387349452,markdown
"Do wages squeeze markups? Sectoral-level evidence for Brazil, 2000–2013",2023,Diogo Oliveira Santos; Gustavo Britto; Rafael Saulo Marques Ribeiro; Débora Freire Cardoso,Structural Change and Economic Dynamics,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.strueco.2023.04.001,https://doi.org/10.1016/j.strueco.2023.04.001,https://openalex.org/W4366714309,markup
Effects of Drug Price Changes on Patient Expenditure: Evidence from China’s Zero Markup Drug Policy,2023,Shuai Chu; Xiangbo Liu; Daisheng Tang,Health & Social Care in the Community,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1155/2023/3285043,https://doi.org/10.1155/2023/3285043,https://openalex.org/W4390100297,markup
"Firm-Level Prices, Quality, and Markups the Role of Immigrant Workers",2023,Giulia Sabbadini,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4326294,http://dx.doi.org/10.2139/ssrn.4326294,https://openalex.org/W4319996109,markup
"Firm-Level Prices, Quality, and Markups: The Role of Immigrant Workers",2023,Giulia Sabbadini,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4401425,http://dx.doi.org/10.2139/ssrn.4401425,https://openalex.org/W4360998659,markup
"Impact of Inflation, Markups and Wages on Changes in the Profitability of Enterprieses in Poland",2023,Aneta Kosztowniak,Finanse i Prawo Finansowe,Journal article,OtherJournal,Applied micro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.18778/2391-6478.4.40.10,http://dx.doi.org/10.18778/2391-6478.4.40.10,https://openalex.org/W4399859606,markup
"Markups, Tobin's <i>q</i>, and the Increasing Capital Share",2023,Jacob Kerspien; Jakob B. Madsen,Journal of money credit and banking,Journal article,OtherJournal,Applied micro,Applied micro,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/jmcb.13031,https://doi.org/10.1111/jmcb.13031,https://openalex.org/W4360615788,markup
Misallocation and markups: Evidence from Indian manufacturing,2023,Yan Liang,Review of Economic Dynamics,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.red.2022.12.004,https://doi.org/10.1016/j.red.2022.12.004,https://openalex.org/W4313593110,markup
The impacts of China's drug price zero-markup policy on medical expenditures and health outcomes,2023,Julie Shi; Lirong Liang; Manqi Hou,China Economic Review,Journal article,OtherJournal,Applied micro,Applied micro,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.chieco.2023.101949,https://doi.org/10.1016/j.chieco.2023.101949,https://openalex.org/W4323657867,markup
"Wealth effects, price markups, and the neo-Fisherian hypothesis",2023,Marco Airaudo; Ina Hajdini,European Economic Review,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.euroecorev.2023.104482,https://doi.org/10.1016/j.euroecorev.2023.104482,https://openalex.org/W4378528876,markup
Characteristics of Labor Markets Varying with Perturbations of Relative Markups,2022,Robert L. Vienneau,Review of Political Economy,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/09538259.2022.2063516,https://doi.org/10.1080/09538259.2022.2063516,https://openalex.org/W4293239881,markup
"Markups, Taxes, and Rising Inequality",2022,Stéphane Auray; Aurélien Eyquem; Bertrand Garbinti; Jonathan Goupille-Lebret,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4241620,https://doi.org/10.2139/ssrn.4241620,https://openalex.org/W4313117200,markup
The Response of Markups and Productivity to Energy Tax Exemptions,2022,Jakob Lehr,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4062624,https://doi.org/10.2139/ssrn.4062624,https://openalex.org/W4220780970,markup
"Entry, Variable Markups, and Business Cycles",2021,William Gamber,Finance and Economics Discussion Series,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.17016/feds.2021.077,https://doi.org/10.17016/feds.2021.077,https://openalex.org/W4200466319,markup
"Intangibles, Markups, and the Measurement of Productivity Growth",2021,Nicolas Crouzet; Janice Eberly,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3897545,https://doi.org/10.2139/ssrn.3897545,https://openalex.org/W4285050646,markup
Markups and cost structure: Small Spanish firms during the Great Recession,2021,Pilar García-Perea; Aitor Lacuesta; Pau Roldan-Blanco,Journal of Economic Behavior & Organization,Journal article,OtherJournal,Applied micro,Applied micro,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jebo.2021.10.001,https://doi.org/10.1016/j.jebo.2021.10.001,https://openalex.org/W3208643435,markup
Physician-Induced Demand: Evidence from China's Drug Price Zero-Markup Policy,2021,Hanming Fang; Xiaoyan Lei; Julie Shi; Xuejie Yi,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3880231,https://doi.org/10.2139/ssrn.3880231,https://openalex.org/W4205969065,markup
Physician-Induced Demand: Evidence from China’s Drug Price Zero-Markup Policy,2021,Hanming Fang; Xiaoyan Lei; Julie Shi; Xuejie Yi,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3881973,https://doi.org/10.2139/ssrn.3881973,https://openalex.org/W3192624802,markup
Rising markups and optimal redistributive taxation,2021,Eren Gürer,International Tax and Public Finance,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s10797-021-09712-y,https://doi.org/10.1007/s10797-021-09712-y,https://openalex.org/W4206843190,markup
Rising Markups and Optimal Redistributive Taxation,2021,Eren Gürer,SSRN Electronic Journal,Journal article,OtherJournal,Applied micro,Applied micro,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3792769,https://doi.org/10.2139/ssrn.3792769,https://openalex.org/W3201505786,markup
"Systematic Review of the Effect of a Zero-Markup Policy for Essential Drugs on Healthcare Costs and Utilization in China, 2015–2021",2021,Wenyi Liu; Chia-Hsien Hsu; Ting-Jun Liu; Pei‐En Chen; Boyuan Zheng; Ching‐Wen Chien; Tao‐Hsin Tung,Frontiers in Medicine,Journal article,OtherJournal,Applied micro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3389/fmed.2021.618046,https://doi.org/10.3389/fmed.2021.618046,https://openalex.org/W3186439736,markup
"The (dampened) wage-price spiral: Conflict, endogenous markup and inflation",2021,Gustavo Daou Lucas,Structural Change and Economic Dynamics,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.strueco.2021.09.006,https://doi.org/10.1016/j.strueco.2021.09.006,https://openalex.org/W3202387657,markup
The Behavior of the Aggregate U.S. Wage Markdown,2021,Hashmat Khan; Κωνσταντίνος Μεταξόγλου,Carleton Economic Papers,Journal article,OtherJournal,Applied micro,Method,Individual/household,No,,Unknown,Unknown,Unknown,,https://ideas.repec.org/p/car/carecp/21-06.html,https://openalex.org/W3184587011,markdown
Uncertainty‐driven business cycles: Assessing the markup channel,2021,Benjamin Born; Johannes Pfeifer,Quantitative Economics,Journal article,OtherJournal,Applied micro,Applied micro,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.3982/qe1297,https://doi.org/10.3982/qe1297,https://openalex.org/W3125482454,markup
Adjustments in markups after a Free Trade Agreement: An analysis of Pakistani firms gaining increased access to China,2023,Nida Jamil; Theresa Thompson Chaudhry; Azam Chaudhry,Journal of International Trade & Economic Development,Journal article,OtherJournal,International economics,Method,Product-level,Yes,de loecker,Unknown,Unknown,Unknown,https://doi.org/10.1080/09638199.2023.2222419,https://doi.org/10.1080/09638199.2023.2222419,https://openalex.org/W4380886297,markup
Globalisation and the fall of markups,2023,Michał Gradzewicz; Jakub Mućk,World Economy,Journal article,OtherJournal,International economics,Method,Firm-level,Yes,de loecker; warzynski,Unknown,Unknown,Unknown,https://doi.org/10.1111/twec.13480,https://doi.org/10.1111/twec.13480,https://openalex.org/W4385739404,markup
The impact of exchange rate fluctuations on markups – firm-level evidence for Switzerland,2025,Elizabeth Steiner; Yannic Stucki,Journal of International Money and Finance,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jimonfin.2025.103422,https://doi.org/10.1016/j.jimonfin.2025.103422,https://openalex.org/W4413883543,markup
Participation in global value chains (GVCs) and markups: firm evidence from six European countries,2024,Dolores Añón Higón; Ioannis Bournakis,International Economics and Economic Policy,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1007/s10368-024-00608-w,https://doi.org/10.1007/s10368-024-00608-w,https://openalex.org/W4392884501,markup
"The 30-Billion-Dollar Distribution Markups and Taxes of Pharmaceuticals in Latin American Countries: Impact, Options, and Trade-Offs",2024,Giovanny Leon; Eduardo González-Pier; Panos Kanavos; Eva María Ruiz de Castilla; Gerardo Machinicki,Value in Health Regional Issues,Journal article,OtherJournal,International economics,Unknown,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.vhri.2024.101015,https://doi.org/10.1016/j.vhri.2024.101015,https://openalex.org/W4400339458,markup
The Impact of Exchange Rate Fluctuations on Markups – Firm-Level Evidence for Switzerland,2024,Elizabeth D. Steiner,SSRN Electronic Journal,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4732272,http://dx.doi.org/10.2139/ssrn.4732272,https://openalex.org/W4392093234,markup
Export prices and markups with a common currency: Empirical evidence from Greek exporting firms and euro adoption,2023,Kyriakos Drivas; Sarantis Kalyvitis; Margarita Katsimi,International Review of Economics & Finance,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.iref.2023.04.021,https://doi.org/10.1016/j.iref.2023.04.021,https://openalex.org/W4367043155,markup
"Global value chains, productivity and markup: Evidence from India",2023,Ketan Reddy; Subash Sasidharan,International Review of Economics & Finance,Journal article,OtherJournal,International economics,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.iref.2023.10.005,https://doi.org/10.1016/j.iref.2023.10.005,https://openalex.org/W4387533695,markup
"Markdowns and Trade Liberalization in Developing Countries: Evidence from Colombia, 1977-2020",2023,Shoki Kusaka,SSRN Electronic Journal,Journal article,OtherJournal,International economics,Empirical,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4466666,http://dx.doi.org/10.2139/ssrn.4466666,https://openalex.org/W4380450940,markdown
Raising Markups To Survive: Small Spanish Firms During the Great Recession,2023,Pilar García-Perea; Aitor Lacuesta; Pau Roldan-Blanco,SSRN Electronic Journal,Journal article,OtherJournal,International economics,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4549083,http://dx.doi.org/10.2139/ssrn.4549083,https://openalex.org/W3129686152,markup
"Do Export Support Programs Affect Prices, Quality, Markups, and Marginal Costs? Evidence From a Natural Policy Experiment",2022,Magnus Tolum Buus; Jakob Roland Munch; Joel Rodrigue; Georg Schaur,The Review of Economics and Statistics,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1162/rest_a_01274,https://doi.org/10.1162/rest_a_01274,https://openalex.org/W4309650731,markup
